Localidad,Year,NPH,PH,Porc_NPH,Porc_PH
Bogotá D.C.,2010,890296,1249729,0.416021308,0.583978692
Bogotá D.C.,2011,889203,1324778,0.401630818,0.598369182
Bogotá D.C.,2012,888216,1381037,0.391413386,0.608586614
Bogotá D.C.,2013,889165,1437801,0.382113447,0.617886553
Bogotá D.C.,2014,888840,1495550,0.372774588,0.627225412
Bogotá D.C.,2015,890114,1539124,0.366416959,0.633583041
Bogotá D.C.,2016,890955,1590751,0.359009085,0.640990915
Bogotá D.C.,2017,893565,1649725,0.351342159,0.648657841
Bogotá D.C.,2018,892880,1694346,0.345110941,0.654889059
USAQUÉN,2010,35506,233764,0.131860215,0.868139785
USAQUÉN,2011,35283,248106,0.124503774,0.875496226
USAQUÉN,2012,35168,258087,0.119922934,0.880077066
USAQUÉN,2013,35028,268863,0.115265013,0.884734987
USAQUÉN,2014,34854,280834,0.110406477,0.889593523
USAQUÉN,2015,34855,290146,0.107245824,0.892754176
USAQUÉN,2016,34732,301327,0.1033509,0.8966491
USAQUÉN,2017,34691,311812,0.100117459,0.899882541
USAQUÉN,2018,34602,318951,0.097869343,0.902130657
CHAPINERO,2010,12301,131789,0.085370255,0.914629745
CHAPINERO,2011,12169,137677,0.081210042,0.918789958
CHAPINERO,2012,12121,141124,0.079095566,0.920904434
CHAPINERO,2013,12051,143892,0.077278236,0.922721764
CHAPINERO,2014,11960,150223,0.073743857,0.926256143
CHAPINERO,2015,11900,153465,0.071962023,0.928037977
CHAPINERO,2016,11864,156179,0.070600977,0.929399023
CHAPINERO,2017,11822,159761,0.0688996,0.9311004
CHAPINERO,2018,11775,161640,0.067900701,0.932099299
SANTA FÉ,2010,17767,42019,0.297176597,0.702823403
SANTA FÉ,2011,17760,42219,0.296103636,0.703896364
SANTA FÉ,2012,17770,42951,0.292649989,0.707350011
SANTA FÉ,2013,16490,42889,0.277707607,0.722292393
SANTA FÉ,2014,16443,43238,0.27551482,0.72448518
SANTA FÉ,2015,16835,43749,0.277878648,0.722121352
SANTA FÉ,2016,16812,43877,0.2770189,0.7229811
SANTA FÉ,2017,16815,46105,0.26724412,0.73275588
SANTA FÉ,2018,16768,47624,0.260405019,0.739594981
SAN CRISTÓBAL,2010,62722,19023,0.767288519,0.232711481
SAN CRISTÓBAL,2011,62577,19215,0.765074824,0.234925176
SAN CRISTÓBAL,2012,62602,19693,0.760702351,0.239297649
SAN CRISTÓBAL,2013,63594,20445,0.756720094,0.243279906
SAN CRISTÓBAL,2014,63467,21042,0.751008768,0.248991232
SAN CRISTÓBAL,2015,63494,21541,0.746680779,0.253319221
SAN CRISTÓBAL,2016,63343,21261,0.748699825,0.251300175
SAN CRISTÓBAL,2017,63483,22523,0.738122922,0.261877078
SAN CRISTÓBAL,2018,63419,23193,0.732219554,0.267780446
USME,2010,65007,11578,0.848821571,0.151178429
USME,2011,64743,12770,0.835253441,0.164746559
USME,2012,64650,14256,0.819329329,0.180670671
USME,2013,64714,16598,0.795872688,0.204127312
USME,2014,64743,17936,0.783064623,0.216935377
USME,2015,64850,19443,0.769340277,0.230659723
USME,2016,65114,19983,0.76517386,0.23482614
USME,2017,65325,22821,0.741099993,0.258900007
USME,2018,65454,24165,0.730358518,0.269641482
TUNJUELITO,2010,20793,12249,0.629289995,0.370710005
TUNJUELITO,2011,20718,12291,0.627647005,0.372352995
TUNJUELITO,2012,20693,12338,0.626472102,0.373527898
TUNJUELITO,2013,20556,12387,0.623986886,0.376013114
TUNJUELITO,2014,20483,12483,0.621337135,0.378662865
TUNJUELITO,2015,20544,12617,0.619522934,0.380477066
TUNJUELITO,2016,20502,12730,0.616935484,0.383064516
TUNJUELITO,2017,20430,12997,0.611182577,0.388817423
TUNJUELITO,2018,20386,13164,0.607630402,0.392369598
BOSA,2010,74968,44338,0.628367391,0.371632609
BOSA,2011,74824,49248,0.603069186,0.396930814
BOSA,2012,74803,53450,0.583245616,0.416754384
BOSA,2013,75062,60373,0.554228966,0.445771034
BOSA,2014,75229,62311,0.546960884,0.453039116
BOSA,2015,75676,64299,0.5406394,0.4593606
BOSA,2016,76252,70763,0.518668163,0.481331837
BOSA,2017,77014,75103,0.506281349,0.493718651
BOSA,2018,77170,79405,0.492862845,0.507137155
KENNEDY,2010,108684,121983,0.47117273,0.52882727
KENNEDY,2011,108621,131291,0.45275351,0.54724649
KENNEDY,2012,108303,137024,0.441463842,0.558536158
KENNEDY,2013,108189,143656,0.429585658,0.570414342
KENNEDY,2014,108301,148450,0.421813352,0.578186648
KENNEDY,2015,108384,152818,0.414943224,0.585056776
KENNEDY,2016,108558,165089,0.396708168,0.603291832
KENNEDY,2017,108701,168731,0.391811327,0.608188673
KENNEDY,2018,108784,172596,0.386608856,0.613391144
FONTIBÓN,2010,29238,87268,0.250957032,0.749042968
FONTIBÓN,2011,29260,91875,0.241548685,0.758451315
FONTIBÓN,2012,29267,98083,0.229815469,0.770184531
FONTIBÓN,2013,29292,104433,0.219046551,0.780953449
