Codigo,Localidad,ActividadEconomica,Year,Predios,PorcPredios
0,"Bogotá D.C.","BODEGAS",2010,20033,0.065170857
0,"Bogotá D.C.","CLINICAS, HOSPITALES, CENTROS MEDICOS",2010,233,0.00075799
0,"Bogotá D.C.","COMERCIO",2010,77623,0.252521211
0,"Bogotá D.C.","HOTELES",2010,2857,0.009294321
0,"Bogotá D.C.","INDUSTRIA",2010,2084,0.006779617
0,"Bogotá D.C.","LOTES",2010,118552,0.385670414
0,"Bogotá D.C.","OFICINAS",2010,58825,0.191368025
0,"Bogotá D.C.","OTROS",2010,22882,0.074439153
0,"Bogotá D.C.","UNIVERSIDADES Y COLEGIOS",2010,4303,0.013998412
0,"Bogotá D.C.","BODEGAS",2011,20543,0.065992065
0,"Bogotá D.C.","CLINICAS, HOSPITALES, CENTROS MEDICOS",2011,265,0.000851283
0,"Bogotá D.C.","COMERCIO",2011,79312,0.254780835
0,"Bogotá D.C.","HOTELES",2011,3082,0.009900577
0,"Bogotá D.C.","INDUSTRIA",2011,2134,0.006855234
0,"Bogotá D.C.","LOTES",2011,114172,0.366764644
0,"Bogotá D.C.","OFICINAS",2011,62644,0.201236769
0,"Bogotá D.C.","OTROS",2011,24797,0.07965756
0,"Bogotá D.C.","UNIVERSIDADES Y COLEGIOS",2011,4346,0.013961034
0,"Bogotá D.C.","BODEGAS",2012,20479,0.065852686
0,"Bogotá D.C.","CLINICAS, HOSPITALES, CENTROS MEDICOS",2012,252,0.000810336
0,"Bogotá D.C.","COMERCIO",2012,80902,0.260150105
0,"Bogotá D.C.","HOTELES",2012,3686,0.011852776
0,"Bogotá D.C.","INDUSTRIA",2012,2102,0.006759234
0,"Bogotá D.C.","LOTES",2012,109035,0.350615148
0,"Bogotá D.C.","OFICINAS",2012,64804,0.208385051
0,"Bogotá D.C.","OTROS",2012,25384,0.081625303
0,"Bogotá D.C.","UNIVERSIDADES Y COLEGIOS",2012,4338,0.01394936
0,"Bogotá D.C.","BODEGAS",2013,20486,0.065436472
0,"Bogotá D.C.","CLINICAS, HOSPITALES, CENTROS MEDICOS",2013,258,0.000824105
0,"Bogotá D.C.","COMERCIO",2013,81336,0.259803812
0,"Bogotá D.C.","HOTELES",2013,3813,0.012179502
0,"Bogotá D.C.","INDUSTRIA",2013,2123,0.006781296
0,"Bogotá D.C.","LOTES",2013,108554,0.346743668
0,"Bogotá D.C.","OFICINAS",2013,66127,0.211223157
0,"Bogotá D.C.","OTROS",2013,25999,0.083046121
0,"Bogotá D.C.","UNIVERSIDADES Y COLEGIOS",2013,4371,0.013961868
