Codigo,Localidad,NumeroPredios,AreaConstruida,ValorAvaluoCatastral
1,USAQUÉN,353553,27062309,97266
2,CHAPINERO,173415,15617904,66962
3,SANTA FÉ,64392,6864256,13626
4,SAN CRISTÓBAL,86612,11311535,9619
5,USME,89619,9087671,7237
6,TUNJUELITO,33550,6166705,8347
7,BOSA,156575,16540433,19322
8,KENNEDY,281380,30528364,49056
9,FONTIBÓN,151079,20241771,47948
10,ENGATIVA,216697,26254629,49854
11,SUBA,473002,39133311,94330
12,BARRIOS UNIDOS,56428,9198967,19813
13,TEUSAQUILLO,84476,9899687,31046
14,LOS MÁRTIRES,34846,6297614,11344
15,ANTONIO NARIÑO,22580,4627091,7746
16,PUENTE ARANDA,69455,15090680,26606
17,LA CANDELARIA,14323,2526713,4412
18,RAFAEL URIBE URIBE,77072,11503664,11230
19,CIUDAD BOLÍVAR,146470,15194929,14699
20,SUMAPAZ,1702,92446,90
