Codigo,Localidad,Urbanos,Rurales,Mixtos
0,All,0,0,0
1,USAQUÉN,351401,1375,777
2,CHAPINERO,169804,175,3436
3,SANTA FÉ,63615,773,4
4,SAN CRISTÓBAL,85789,191,632
5,USME,85320,2603,1696
6,TUNJUELITO,33550,0,0
7,BOSA,144593,1074,10908
8,KENNEDY,277345,26,4009
9,FONTIBÓN,150856,90,133
10,ENGATIVA,216691,5,1
11,SUBA,470348,2650,4
12,BARRIOS UNIDOS,56428,0,0
13,TEUSAQUILLO,84476,0,0
14,LOS MÁRTIRES,34846,0,0
15,ANTONIO NARIÑO,22580,0,0
16,PUENTE ARANDA,69455,0,0
17,LA CANDELARIA,14323,0,0
18,RAFAEL URIBE URIBE,77072,0,0
19,CIUDAD BOLÍVAR,141387,3734,1349
20,SUMAPAZ,0,1601,101
