Codigo,Localidad,Estrato,NumeroPredios,AreaConstruida,ValorAvaluoCatastral
0,All,Sin Estrato,0,0,0
0,All,E1,0,0,0
0,All,E2,0,0,0
0,All,E3,0,0,0
0,All,E4,0,0,0
0,All,E5,0,0,0
0,All,E6,0,0,0
1,USAQUÉN,Sin Estrato,11995,1002950.58,2301.993011
1,USAQUÉN,E1,3123,426505.15,301.32493
1,USAQUÉN,E2,6071,1005678.02,655.835041
1,USAQUÉN,E3,43684,3304469.06,5208.045629
1,USAQUÉN,E4,123952,6209081.86,16553.78932
1,USAQUÉN,E5,54709,3630483.98,13383.28294
1,USAQUÉN,E6,81008,6108350.91,25704.85854
2,CHAPINERO,Sin Estrato,18362,522233.65,1464.962155
2,CHAPINERO,E1,1475,245449.17,93.768997
2,CHAPINERO,E2,2315,358194.6,157.912606
2,CHAPINERO,E3,7614,456138.13,991.762179
2,CHAPINERO,E4,34159,1757188.55,5180.736147
2,CHAPINERO,E5,15612,1030341.1,4709.132189
2,CHAPINERO,E6,59162,4880977.92,25061.28267
3,SANTA FÉ,Sin Estrato,6245,361094.27,509.802996
3,SANTA FÉ,E1,1413,154126.57,89.057269
3,SANTA FÉ,E2,11309,1438283.08,779.592581
3,SANTA FÉ,E3,9852,640687.25,1009.499545
3,SANTA FÉ,E4,11045,472393.64,1312.089075
3,SANTA FÉ,E5,11,3319.6,3.286039
3,SANTA FÉ,E6,13,3866.42,4.208519
4,SAN CRISTÓBAL,Sin Estrato,1931,576136.5,451.665139
4,SAN CRISTÓBAL,E1,5059,577930.98,276.789466
4,SAN CRISTÓBAL,E2,54578,7456806.8,4479.993413
4,SAN CRISTÓBAL,E3,11952,1460955.97,1506.394766
4,SAN CRISTÓBAL,E4,1,185.92,0.046294
4,SAN CRISTÓBAL,E5,0,0,0
4,SAN CRISTÓBAL,E6,0,0,0
5,USME,Sin Estrato,3278,672334.94,567.152876
5,USME,E1,32142,3474034.15,1617.633694
5,USME,E2,38884,3992760.55,2765.082495
5,USME,E3,47,6642.4,6.623824
5,USME,E4,3,762.55,3.872147
5,USME,E5,0,0,0
5,USME,E6,0,0,0
6,TUNJUELITO,Sin Estrato,2005,720215.22,836.932937
6,TUNJUELITO,E1,0,0,0
6,TUNJUELITO,E2,13197,2717277.94,1974.181395
6,TUNJUELITO,E3,14226,1342912.12,1688.725676
6,TUNJUELITO,E4,0,0,0
6,TUNJUELITO,E5,0,0,0
6,TUNJUELITO,E6,0,0,0
7,BOSA,Sin Estrato,5724,1385437.96,1677.365575
7,BOSA,E1,14327,1454585.16,1081.798341
7,BOSA,E2,122749,11741316.72,10746.18354
7,BOSA,E3,3207,396310.59,509.941741
7,BOSA,E4,0,0,0
7,BOSA,E5,0,0,0
7,BOSA,E6,0,0,0
8,KENNEDY,Sin Estrato,10987,2989381.62,3174.823631
8,KENNEDY,E1,2097,175841.98,151.24631
8,KENNEDY,E2,102315,10523170.19,10436.3356
8,KENNEDY,E3,129645,11027700.58,16246.29322
8,KENNEDY,E4,14335,812615.07,1888.433157
8,KENNEDY,E5,0,0,0
8,KENNEDY,E6,0,0,0
9,FONTIBÓN,Sin Estrato,5004,676297.66,1584.399174
9,FONTIBÓN,E1,1,70.8,0.128532
9,FONTIBÓN,E2,20143,1479872.93,1817.771678
9,FONTIBÓN,E3,38699,3948794.53,4909.592355
9,FONTIBÓN,E4,69258,3638442.27,9892.66772
9,FONTIBÓN,E5,4784,292115.56,1376.393718
9,FONTIBÓN,E6,0,0,0
10,ENGATIVA,Sin Estrato,10412,2332824.58,3030.624045
10,ENGATIVA,E1,509,88891.91,50.050919
10,ENGATIVA,E2,33981,4324399.49,4074.589749
10,ENGATIVA,E3,134669,13746378.27,20591.67673
10,ENGATIVA,E4,19019,1208744.62,2885.427977
10,ENGATIVA,E5,0,0,0
10,ENGATIVA,E6,0,0,0
11,SUBA,Sin Estrato,10722,2195730.04,2879.094419
11,SUBA,E1,411,59842.32,45.662945
11,SUBA,E2,72675,8907091.41,8043.144218
11,SUBA,E3,135562,7985275.84,13145.74652
11,SUBA,E4,126661,6339700.56,16149.81712
11,SUBA,E5,84258,6295215.2,19768.16973
11,SUBA,E6,11352,1343907.04,5577.817091
12,BARRIOS UNIDOS,Sin Estrato,4033,1083878.52,1539.897337
12,BARRIOS UNIDOS,E1,0,0,0
12,BARRIOS UNIDOS,E2,2,122.4,0.233187
12,BARRIOS UNIDOS,E3,13952,2152980.93,3071.175155
12,BARRIOS UNIDOS,E4,22787,1921901.1,4731.174745
12,BARRIOS UNIDOS,E5,2163,147998.11,468.853491
12,BARRIOS UNIDOS,E6,0,0,0
13,TEUSAQUILLO,Sin Estrato,3002,439427.3,763.787377
13,TEUSAQUILLO,E1,0,0,0
13,TEUSAQUILLO,E2,2,17046.4,10.609354
13,TEUSAQUILLO,E3,7797,621280.24,1177.020978
13,TEUSAQUILLO,E4,55910,4406306.79,12266.88147
13,TEUSAQUILLO,E5,7137,510171.14,1821.159272
13,TEUSAQUILLO,E6,0,0,0
14,LOS MÁRTIRES,Sin Estrato,4059,935215.13,1002.274553
14,LOS MÁRTIRES,E1,0,0,0
14,LOS MÁRTIRES,E2,992,116589.7,109.846477
14,LOS MÁRTIRES,E3,11786,1777143.21,2196.262848
14,LOS MÁRTIRES,E4,1284,106894.22,296.557498
14,LOS MÁRTIRES,E5,0,0,0
14,LOS MÁRTIRES,E6,0,0,0
15,ANTONIO NARIÑO,Sin Estrato,2172,673408.04,797.9953
15,ANTONIO NARIÑO,E1,0,0,0
15,ANTONIO NARIÑO,E2,403,85730.3,71.857806
15,ANTONIO NARIÑO,E3,15190,2302984.44,2916.407245
15,ANTONIO NARIÑO,E4,0,0,0
15,ANTONIO NARIÑO,E5,0,0,0
15,ANTONIO NARIÑO,E6,0,0,0
16,PUENTE ARANDA,Sin Estrato,4292,1191492.79,1478.703021
16,PUENTE ARANDA,E1,457,21776.05,22.231222
16,PUENTE ARANDA,E2,51,5441.79,1.676357
16,PUENTE ARANDA,E3,45416,7328797.78,8922.640758
16,PUENTE ARANDA,E4,4672,291242.46,849.10015
16,PUENTE ARANDA,E5,0,0,0
16,PUENTE ARANDA,E6,0,0,0
17,LA CANDELARIA,Sin Estrato,1265,173045.09,277.265393
17,LA CANDELARIA,E1,0,0,0
17,LA CANDELARIA,E2,2736,335918.85,421.268456
17,LA CANDELARIA,E3,3337,236170.53,461.812645
17,LA CANDELARIA,E4,0,0,0
17,LA CANDELARIA,E5,0,0,0
17,LA CANDELARIA,E6,0,0,0
18,RAFAEL URIBE URIBE,Sin Estrato,3253,977794.7,804.13021
18,RAFAEL URIBE URIBE,E1,5202,657251.42,301.551047
18,RAFAEL URIBE URIBE,E2,33322,3908205.09,2749.260381
18,RAFAEL URIBE URIBE,E3,28376,4432986.79,3961.323027
18,RAFAEL URIBE URIBE,E4,0,0,0
18,RAFAEL URIBE URIBE,E5,0,0,0
18,RAFAEL URIBE URIBE,E6,0,0,0
19,CIUDAD BOLÍVAR,Sin Estrato,4715,1047642.91,1188.671343
19,CIUDAD BOLÍVAR,E1,58805,6816661.65,3271.648507
19,CIUDAD BOLÍVAR,E2,39528,4539260.64,3549.898472
19,CIUDAD BOLÍVAR,E3,19053,1061433.38,1661.760543
19,CIUDAD BOLÍVAR,E4,2,275.56,0.176794
19,CIUDAD BOLÍVAR,E5,0,0,0
19,CIUDAD BOLÍVAR,E6,0,0,0
20,SUMAPAZ,Sin Estrato,721,52998.9,37.046046
20,SUMAPAZ,E1,84,7403.48,1.953319
20,SUMAPAZ,E2,26,3347.06,1.000057
20,SUMAPAZ,E3,13,1316.06,0.476098
20,SUMAPAZ,E4,0,0,0
20,SUMAPAZ,E5,0,0,0
20,SUMAPAZ,E6,0,0,0
