Codigo,Localidad,Uso,NumeroPredios,AreaConstruida,ValorAvaluoCatastral
0,All,BODEGAS,0,0,0
0,All,"CLINICAS, HOSPITALES, CENTROS MÉDICOS",0,0,0
0,All,COMERCIO,0,0,0
0,All,HOTELES,0,0,0
0,All,INDUSTRIA,0,0,0
0,All,OFICINAS,0,0,0
0,All,"UNIVERSIDADES Y COLEGIOS",0,0,0
0,All,RESIDENCIAL,0,0,0
0,All,OTROS,0,0,0
1,USAQUÉN,BODEGAS,1148,748378.85,3050.250337
1,USAQUÉN,"CLINICAS, HOSPITALES, CENTROS MÉDICOS",26,236557.69,622.605622
1,USAQUÉN,COMERCIO,9296,919041.96,5588.675725
1,USAQUÉN,HOTELES,912,147789.46,694.438612
1,USAQUÉN,INDUSTRIA,39,65512.46,149.087942
1,USAQUÉN,OFICINAS,10435,1848084.93,8147.506037
1,USAQUÉN,"UNIVERSIDADES Y COLEGIOS",184,704861.6,3482.670049
1,USAQUÉN,RESIDENCIAL,324542,21687519.56,64109.12942
1,USAQUÉN,OTROS,6971,703798.18,11421.19377
2,CHAPINERO,BODEGAS,121,114621.39,450.790744
2,CHAPINERO,"CLINICAS, HOSPITALES, CENTROS MÉDICOS",27,257081.08,525.116088
2,CHAPINERO,COMERCIO,8475,1014114.41,6015.018768
2,CHAPINERO,HOTELES,2067,335817.46,1335.685452
2,CHAPINERO,INDUSTRIA,1,268.1,0.729737
2,CHAPINERO,OFICINAS,20922,3484190.51,15569.20045
2,CHAPINERO,"UNIVERSIDADES Y COLEGIOS",268,765667.23,1695.256315
2,CHAPINERO,RESIDENCIAL,138699,9250523.12,37659.55694
2,CHAPINERO,OTROS,2835,395620.25,3710.418522
3,SANTA FÉ,BODEGAS,236,133155.77,305.564576
3,SANTA FÉ,"CLINICAS, HOSPITALES, CENTROS MÉDICOS",3,6333.17,11.027431
3,SANTA FÉ,COMERCIO,9082,678104.63,2592.039082
3,SANTA FÉ,HOTELES,215,134761.48,344.833812
3,SANTA FÉ,INDUSTRIA,4,2974.65,4.228416
3,SANTA FÉ,OFICINAS,10267,1990361.47,4361.330794
3,SANTA FÉ,"UNIVERSIDADES Y COLEGIOS",167,343297.89,677.722317
3,SANTA FÉ,RESIDENCIAL,39888,3073770.83,3707.536024
3,SANTA FÉ,OTROS,4530,501496.34,1621.803483
4,SAN CRISTÓBAL,BODEGAS,434,185458.16,337.942026
4,SAN CRISTÓBAL,"CLINICAS, HOSPITALES, CENTROS MÉDICOS",11,111714.98,185.438023
4,SAN CRISTÓBAL,COMERCIO,1437,183114.96,240.90084
4,SAN CRISTÓBAL,HOTELES,0,0,0
4,SAN CRISTÓBAL,INDUSTRIA,14,6732.73,10.85701
4,SAN CRISTÓBAL,OFICINAS,421,242539.02,349.070745
4,SAN CRISTÓBAL,"UNIVERSIDADES Y COLEGIOS",188,273564.49,372.047468
4,SAN CRISTÓBAL,RESIDENCIAL,73521,10072016.17,6714.889078
4,SAN CRISTÓBAL,OTROS,10586,236394.71,1408.341366
5,USME,BODEGAS,233,131403.97,228.589263
5,USME,"CLINICAS, HOSPITALES, CENTROS MÉDICOS",6,3488.55,4.485774
5,USME,COMERCIO,921,140380.26,157.550403
5,USME,HOTELES,0,0,0
5,USME,INDUSTRIA,17,92460.8,138.017809
5,USME,OFICINAS,394,118143.47,128.733087
5,USME,"UNIVERSIDADES Y COLEGIOS",221,261850.23,371.20165
5,USME,RESIDENCIAL,74354,8146534.59,4960.365036
5,USME,OTROS,13473,193408.85,1248.49138
6,TUNJUELITO,BODEGAS,368,178811.88,454.837365
6,TUNJUELITO,"CLINICAS, HOSPITALES, CENTROS MÉDICOS",4,18441.32,41.63194
6,TUNJUELITO,COMERCIO,1133,147914.23,335.661689
6,TUNJUELITO,HOTELES,0,0,0
6,TUNJUELITO,INDUSTRIA,52,256166.29,497.672939
6,TUNJUELITO,OFICINAS,278,136432.8,321.519551
6,TUNJUELITO,"UNIVERSIDADES Y COLEGIOS",105,240162.9,681.350621
6,TUNJUELITO,RESIDENCIAL,29428,4780405.28,4499.840008
6,TUNJUELITO,OTROS,2182,408370.66,1514.972941
7,BOSA,BODEGAS,495,258306.43,819.018962
7,BOSA,"CLINICAS, HOSPITALES, CENTROS MÉDICOS",5,11849.5,21.851372
7,BOSA,COMERCIO,2041,284470.95,443.350328
7,BOSA,HOTELES,1,767.93,1.038122
7,BOSA,INDUSTRIA,22,70411.23,243.549685
7,BOSA,OFICINAS,549,177796.95,555.065421
