Codigo,Localidad,Year,Poblacion
0,Bogotá D.C.,2012,7571345
0,Bogotá D.C.,2013,7674366
0,Bogotá D.C.,2014,7776845
0,Bogotá D.C.,2015,7878783
0,Bogotá D.C.,2016,7980001
0,Bogotá D.C.,2017,8080734
0,Bogotá D.C.,2018,8181047
1,USAQUÉN,2012,460543
1,USAQUÉN,2013,464619
1,USAQUÉN,2014,468115
1,USAQUÉN,2015,470922
1,USAQUÉN,2016,472908
1,USAQUÉN,2017,474186
1,USAQUÉN,2018,475275
2,CHAPINERO,2012,126351
2,CHAPINERO,2013,126764
2,CHAPINERO,2014,126949
2,CHAPINERO,2015,126956
2,CHAPINERO,2016,126951
2,CHAPINERO,2017,126591
2,CHAPINERO,2018,126192
3,SANTA FÉ,2012,102175
3,SANTA FÉ,2013,100768
3,SANTA FÉ,2014,99340
3,SANTA FÉ,2015,97920
3,SANTA FÉ,2016,96534
3,SANTA FÉ,2017,95201
3,SANTA FÉ,2018,93857
4,SAN CRISTÓBAL,2012,399915
4,SAN CRISTÓBAL,2013,399537
4,SAN CRISTÓBAL,2014,398918
4,SAN CRISTÓBAL,2015,397919
4,SAN CRISTÓBAL,2016,396383
4,SAN CRISTÓBAL,2017,394358
4,SAN CRISTÓBAL,2018,392220
5,USME,2012,326497
5,USME,2013,329134
5,USME,2014,331730
5,USME,2015,334376
5,USME,2016,337152
5,USME,2017,340101
5,USME,2018,342940
6,TUNJUELITO,2012,188537
6,TUNJUELITO,2013,189633
6,TUNJUELITO,2014,190289
6,TUNJUELITO,2015,190318
6,TUNJUELITO,2016,189522
6,TUNJUELITO,2017,187971
6,TUNJUELITO,2018,186383
7,BOSA,2012,633725
7,BOSA,2013,651084
7,BOSA,2014,669227
7,BOSA,2015,688455
7,BOSA,2016,709039
7,BOSA,2017,731047
7,BOSA,2018,753496
8,KENNEDY,2012,1097601
8,KENNEDY,2013,1120274
8,KENNEDY,2014,1142901
8,KENNEDY,2015,1165318
8,KENNEDY,2016,1187315
8,KENNEDY,2017,1208980
8,KENNEDY,2018,1230539
9,FONTIBÓN,2012,364709
9,FONTIBÓN,2013,374142
9,FONTIBÓN,2014,383742
9,FONTIBÓN,2015,393533
9,FONTIBÓN,2016,403519
9,FONTIBÓN,2017,413734
9,FONTIBÓN,2018,424038
10,ENGATIVA,2012,851270
10,ENGATIVA,2013,856996
10,ENGATIVA,2014,862557
10,ENGATIVA,2015,867976
10,ENGATIVA,2016,873243
10,ENGATIVA,2017,878434
10,ENGATIVA,2018,883319
11,SUBA,2012,1127402
11,SUBA,2013,1157514
11,SUBA,2014,1188071
11,SUBA,2015,1219135
11,SUBA,2016,1250734
11,SUBA,2017,1282978
11,SUBA,2018,1315509
12,BARRIOS UNIDOS,2012,250574
12,BARRIOS UNIDOS,2013,254001
12,BARRIOS UNIDOS,2014,257353
12,BARRIOS UNIDOS,2015,260646
12,BARRIOS UNIDOS,2016,263883
12,BARRIOS UNIDOS,2017,267106
12,BARRIOS UNIDOS,2018,270280
13,TEUSAQUILLO,2012,140743
13,TEUSAQUILLO,2013,140755
13,TEUSAQUILLO,2014,140766
13,TEUSAQUILLO,2015,140772
13,TEUSAQUILLO,2016,140767
13,TEUSAQUILLO,2017,140473
13,TEUSAQUILLO,2018,140135
14,LOS MÁRTIRES,2012,95177
14,LOS MÁRTIRES,2013,95007
14,LOS MÁRTIRES,2014,94779
14,LOS MÁRTIRES,2015,94487
14,LOS MÁRTIRES,2016,94130
14,LOS MÁRTIRES,2017,93716
14,LOS MÁRTIRES,2018,93248
15,ANTONIO NARIÑO,2012,112137
15,ANTONIO NARIÑO,2013,111112
15,ANTONIO NARIÑO,2014,110239
15,ANTONIO NARIÑO,2015,109603
15,ANTONIO NARIÑO,2016,109277
15,ANTONIO NARIÑO,2017,109254
15,ANTONIO NARIÑO,2018,109199
16,PUENTE ARANDA,2012,236877
16,PUENTE ARANDA,2013,234191
16,PUENTE ARANDA,2014,231368
16,PUENTE ARANDA,2015,228388
16,PUENTE ARANDA,2016,225220
16,PUENTE ARANDA,2017,221906
16,PUENTE ARANDA,2018,218555
17,LA CANDELARIA,2012,22791
17,LA CANDELARIA,2013,22828
17,LA CANDELARIA,2014,22824
17,LA CANDELARIA,2015,22764
17,LA CANDELARIA,2016,22633
17,LA CANDELARIA,2017,22438
17,LA CANDELARIA,2018,22243
18,RAFAEL URIBE URIBE,2012,363284
18,RAFAEL URIBE URIBE,2013,361125
18,RAFAEL URIBE URIBE,2014,358845
18,RAFAEL URIBE URIBE,2015,356408
18,RAFAEL URIBE URIBE,2016,353761
18,RAFAEL URIBE URIBE,2017,350944
18,RAFAEL URIBE URIBE,2018,348023
19,CIUDAD BOLÍVAR,2012,664047
19,CIUDAD BOLÍVAR,2013,677819
19,CIUDAD BOLÍVAR,2014,691693
19,CIUDAD BOLÍVAR,2015,705663
19,CIUDAD BOLÍVAR,2016,719700
19,CIUDAD BOLÍVAR,2017,733859
19,CIUDAD BOLÍVAR,2018,748012
20,SUMAPAZ,2012,6990
20,SUMAPAZ,2013,7063
20,SUMAPAZ,2014,7139
20,SUMAPAZ,2015,7224
20,SUMAPAZ,2016,7330
20,SUMAPAZ,2017,7457
20,SUMAPAZ,2018,7584
