Codigo,Localidad,Estrato,Year,Predios,PorcPredios
0,"Bogotá D.C.",Sin Estrato,2010,393423,0.183840376
0,"Bogotá D.C.",E1,2010,107554,0.050258291
0,"Bogotá D.C.",E2,2010,475853,0.222358617
0,"Bogotá D.C.",E3,2010,588024,0.27477436
0,"Bogotá D.C.",E4,2010,335243,0.156653777
0,"Bogotá D.C.",E5,2010,121476,0.056763823
0,"Bogotá D.C.",E6,2010,118452,0.055350755
0,"Bogotá D.C.",Sin Estrato,2011,403273,0.182148356
0,"Bogotá D.C.",E1,2011,107871,0.04872264
0,"Bogotá D.C.",E2,2011,484157,0.218681642
0,"Bogotá D.C.",E3,2011,591796,0.267299494
0,"Bogotá D.C.",E4,2011,371895,0.167975696
0,"Bogotá D.C.",E5,2011,131498,0.059394367
0,"Bogotá D.C.",E6,2011,123491,0.055777805
0,"Bogotá D.C.",Sin Estrato,2012,407350,0.179508411
0,"Bogotá D.C.",E1,2012,108502,0.047813972
0,"Bogotá D.C.",E2,2012,498084,0.219492494
0,"Bogotá D.C.",E3,2012,604506,0.266389865
0,"Bogotá D.C.",E4,2012,390050,0.171884757
0,"Bogotá D.C.",E5,2012,133836,0.058977998
0,"Bogotá D.C.",E6,2012,126925,0.055932503
0,"Bogotá D.C.",Sin Estrato,2013,407593,0.175160703
0,"Bogotá D.C.",E1,2013,109547,0.047077181
0,"Bogotá D.C.",E2,2013,517697,0.222477251
0,"Bogotá D.C.",E3,2013,617906,0.265541482
0,"Bogotá D.C.",E4,2013,404957,0.174027897
0,"Bogotá D.C.",E5,2013,137493,0.059086811
0,"Bogotá D.C.",E6,2013,131773,0.056628674
0,"Bogotá D.C.",Sin Estrato,2014,414764,0.173949731
0,"Bogotá D.C.",E1,2014,110733,0.046440809
0,"Bogotá D.C.",E2,2014,525039,0.220198457
0,"Bogotá D.C.",E3,2014,625824,0.26246713
0,"Bogotá D.C.",E4,2014,421815,0.176906882
0,"Bogotá D.C.",E5,2014,149176,0.062563591
0,"Bogotá D.C.",E6,2014,137039,0.0574734
0,"Bogotá D.C.",Sin Estrato,2015,419717,0.172777225
0,"Bogotá D.C.",E1,2015,112007,0.046107874
0,"Bogotá D.C.",E2,2015,532684,0.219280285
0,"Bogotá D.C.",E3,2015,635403,0.261564738
0,"Bogotá D.C.",E4,2015,433674,0.178522648
0,"Bogotá D.C.",E5,2015,155590,0.064048891
0,"Bogotá D.C.",E6,2015,140163,0.05769834
0,"Bogotá D.C.",Sin Estrato,2016,422077,0.170075343
0,"Bogotá D.C.",E1,2016,114449,0.046117066
0,"Bogotá D.C.",E2,2016,544661,0.219470397
0,"Bogotá D.C.",E3,2016,654366,0.263675875
0,"Bogotá D.C.",E4,2016,443321,0.178635584
0,"Bogotá D.C.",E5,2016,159237,0.064164329
0,"Bogotá D.C.",E6,2016,143595,0.057861407
0,"Bogotá D.C.",Sin Estrato,2017,424571,0.166937707
0,"Bogotá D.C.",E1,2017,122699,0.048244203
0,"Bogotá D.C.",E2,2017,551792,0.216959922
0,"Bogotá D.C.",E3,2017,669410,0.263206319
0,"Bogotá D.C.",E4,2017,461145,0.181318292
0,"Bogotá D.C.",E5,2017,165905,0.065232435
0,"Bogotá D.C.",E6,2017,147768,0.058101121
0,"Bogotá D.C.",Sin Estrato,2018,426661,0.164910603
0,"Bogotá D.C.",E1,2018,125228,0.04840242
0,"Bogotá D.C.",E2,2018,555753,0.214806515
0,"Bogotá D.C.",E3,2018,674963,0.260882892
0,"Bogotá D.C.",E4,2018,484003,0.187074109
0,"Bogotá D.C.",E5,2018,168931,0.065294257
0,"Bogotá D.C.",E6,2018,151687,0.058629204
1,"USAQUÉN",Sin Estrato,2010,36164,0.134303859
1,"USAQUÉN",E1,2010,2914,0.010821852
1,"USAQUÉN",E2,2010,5875,0.021818249
1,"USAQUÉN",E3,2010,38632,0.143469380
1,"USAQUÉN",E4,2010,82701,0.307130390
1,"USAQUÉN",E5,2010,39463,0.146555502
1,"USAQUÉN",E6,2010,63521,0.235900769
1,"USAQUÉN",Sin Estrato,2011,37083,0.130855467
1,"USAQUÉN",E1,2011,2947,0.010399133
1,"USAQUÉN",E2,2011,5861,0.020681819
1,"USAQUÉN",E3,2011,39635,0.139860757
1,"USAQUÉN",E4,2011,89500,0.315820304
1,"USAQUÉN",E5,2011,41768,0.147387513
1,"USAQUÉN",E6,2011,66595,0.234995007
1,"USAQUÉN",Sin Estrato,2012,38656,0.131817019
1,"USAQUÉN",E1,2012,2957,0.010083375
1,"USAQUÉN",E2,2012,6062,0.020671429
1,"USAQUÉN",E3,2012,40889,0.139431553
1,"USAQUÉN",E4,2012,93565,0.319056794
1,"USAQUÉN",E5,2012,42637,0.145392235
1,"USAQUÉN",E6,2012,68489,0.233547595
1,"USAQUÉN",Sin Estrato,2013,38033,0.125153427
1,"USAQUÉN",E1,2013,3051,0.010039784
1,"USAQUÉN",E2,2013,6111,0.020109184
1,"USAQUÉN",E3,2013,43051,0.141665926
1,"USAQUÉN",E4,2013,98213,0.323184958
1,"USAQUÉN",E5,2013,43871,0.144364262
1,"USAQUÉN",E6,2013,71561,0.235482459
1,"USAQUÉN",Sin Estrato,2014,39103,0.123865969
1,"USAQUÉN",E1,2014,3074,0.009737462
1,"USAQUÉN",E2,2014,5811,0.018407415
1,"USAQUÉN",E3,2014,43454,0.137648564
1,"USAQUÉN",E4,2014,103082,0.326531259
1,"USAQUÉN",E5,2014,47331,0.149929677
1,"USAQUÉN",E6,2014,73833,0.233879653
1,"USAQUÉN",Sin Estrato,2015,39798,0.122455008
1,"USAQUÉN",E1,2015,3140,0.009661509
1,"USAQUÉN",E2,2015,5838,0.017963022
1,"USAQUÉN",E3,2015,44757,0.137713422
1,"USAQUÉN",E4,2015,106403,0.327392839
1,"USAQUÉN",E5,2015,49528,0.152393377
1,"USAQUÉN",E6,2015,75537,0.232420823
1,"USAQUÉN",Sin Estrato,2016,40594,0.120794265
1,"USAQUÉN",E1,2016,3143,0.009352524
1,"USAQUÉN",E2,2016,6024,0.017925424
1,"USAQUÉN",E3,2016,47515,0.141388863
1,"USAQUÉN",E4,2016,109782,0.326674780
1,"USAQUÉN",E5,2016,51391,0.152922552
1,"USAQUÉN",E6,2016,77610,0.230941591
1,"USAQUÉN",Sin Estrato,2017,40405,0.116607937
